Sl_No,GEMS_ID    W,STATE,DISTRICT,BLOCK,LOCATION,LONGITUDE,LATITUDE,Year,pH,EC,CO3,HCO3,Cl,SO4,NO3,PO4,TH,Ca,Mg,Na,K,F,SiO2,TDS,U_ppb_
6256,W13023080123001,Tamil Nadu,Chennai,CHENNAI,K.K.Nagar,80.2083,13.0417,2022,7.13,735,0,280.6,81.7,63.5,2,0,265,72,20.7,51,18.1,0.66,,,2
6257,W12580180153701,Tamil Nadu,Chennai,THOMAS MALAI,Kottivakkam,80.2603,12.9669,2022,7.58,1300,0,390.4,188.2,129.8,0,0,345,60,47.4,136,26.7,0.23,,,2
6258,W12582280091601,Tamil Nadu,Chennai,THOMAS MALAI,Pallavaram pz,80.1544,12.9728,2022,7.24,690,0,158.6,120.7,12,3,0,240,56,24.3,26.2,15.1,0.96,,,5
6259,W12591280145901,Tamil Nadu,Chennai,CHENNAI,Taramani (NITTR PZ),80.2497,12.9867,2022,7.18,655,0,268.4,114,10,2.6,0,140,16,24.3,96,16,0.42,,,2
6260,W13046080111501,Tamil Nadu,Chennai,VILLIVAKKAM,Tirumangalam,80.1875,13.0833,2022,7.1,5740,0,378.2,1334.8,386.4,3,0,1025,172,144.7,687,16.6,0.17,,,37
6261,W13070080163001,Tamil Nadu,Chennai,CHENNAI,Tondiarpet,80.275,13.1167,2022,7.3,1422,0,329.4,205.9,149.5,24.2,0,375,92,35.3,143.7,33.3,0.35,,,3
6262,W13062080165301,Tamil Nadu,Chennai,CHENNAI,Vallalar Nagar,80.2814,13.1056,2022,7.36,555,0,189.1,85.2,26.6,0,0,140,30,15.8,59,17.5,0.27,,,2
6263,W13046080161501,Tamil Nadu,Chennai,CHENNAI,Vepery,80.2708,13.0833,2022,7.41,2600,0,518.5,198.8,433.9,142,0,430,34,83.9,400.9,45.7,0.36,,,2
6264,W13070180170701,Tamil Nadu,CHENNAI,CHENNAI,WASAHERMENPET,80.2852,13.117,2022,7.91,267,0,121,14.2,2,0.7,0,70,12,9.7,22,7.5,0.33,,,1
6265,W10574576480301,Tamil Nadu,Coimbatore,THONDAMUTHUR,Alandurai pz,76.8008,10.9625,2022,7.39,632,0,164.7,71,86.9,18.3,0,230,36,34.1,38.2,15.8,0.59,,,1
6266,W10380776562801,Tamil Nadu,Coimbatore,ANAMALAI,Ambarampalayam,76.9411,10.6353,2022,7.1,768,0,250.1,78.1,65,5.9,0,360,80,38.9,19.4,13,0.6,,,0
6267,W10303577033401,Tamil Nadu,Coimbatore,ANAMALAI,AnaimalaiPZ,77.0594,10.5097,2022,6.94,975,0,262.3,142,62.4,35.6,0,420,80,53.5,41.4,4.9,1.23,,,0
6268,W11001877241401,Tamil Nadu,Coimbatore,PONGALUR,Andipalayam,77.4039,11.005,2022,7.69,452,0,128.1,85.2,12.4,5.1,0,190,16,36.5,15.2,2.9,0.18,,,0
6269,W10313076595801,Tamil Nadu,Coimbatore,ANAMALAI,Angalakurichi,76.9994,10.525,2022,7.4,1660,0,585.7,198.8,91.8,28.1,0,410,100,38.9,190.1,25.3,1.62,,,2
6270,W11136077063001,Tamil Nadu,Coimbatore,ANNUR,Annur1,77.1083,11.2333,2022,7.36,2580,0,488.1,305.3,297.5,178.4,0,760,128,107,197.8,21.3,0.43,,,6
6271,W10434577053001,Tamil Nadu,Coimbatore,KINATHUKADAVU,Chinnaripalayam,77.0917,10.7292,2022,7.24,3100,0,469.8,575.1,181.7,162,0,800,208,68.1,240.7,71.7,0.57,,,1
6272,W11000676581601,Tamil Nadu,Coimbatore,THONDAMUTHUR,Coimbatore Taluk Office,76.9711,11.0017,2022,7.27,1461,0,457.6,191.7,90.4,57,0,450,92,53.5,131.5,29.1,0.77,,,4
6273,W11005876583801,Tamil Nadu,Coimbatore,PERIYANAICKANPALAYA,Corporation North Zone,76.9772,11.0161,2022,6.9,275,0,67.1,53.3,20.5,1,0,130,24,17,4.1,13.5,0.34,,,0
6274,W11022977000201,Tamil Nadu,Coimbatore,PERIYANAICKANPALAYA,Cwc Campus pz,77.0006,11.0414,2022,7.41,2490,0,469.8,120.7,675,8.2,0,430,64,65.7,388.6,19.1,1.57,,,17
6275,W10331577050801,Tamil Nadu,Coimbatore,UDUMALAIPETTAI,Devanur Pudur pz,77.0856,10.5542,2022,7.36,1486,0,384.4,220.1,65,0.4,0,300,80,24.3,125.3,96.9,1.17,,,1
6276,W11103377032701,Tamil Nadu,Coimbatore,ANNUR,Ganesapuram,77.0575,11.1758,2022,7.48,1786,0,469.8,284,46.5,75.9,0,530,124,53.5,133,15.8,0.16,,,14
6277,W11063377260801,Tamil Nadu,Coimbatore,THIRUPPUR,Ganganaickenpalayam,77.4356,11.1092,2022,7.18,4640,0,366.1,937.2,179.9,41.3,0,1380,240,189.7,178.4,16.8,0.35,,,5
6278,W11023176563101,Tamil Nadu,Coimbatore,PERIYANAICKANPALAYA,Ghs Ganapathi pz,76.9419,11.0419,2022,6.8,287,0,115.9,35.5,18.4,1.8,0,140,24,19.5,8,13.6,0.37,,,0
6279,W10414576561501,Tamil Nadu,Coimbatore,POLLACHI NORTH,Gopalapuaram,76.9375,10.6958,2022,7.28,1324,0,378.3,213,91,22.9,0,520,120,53.5,78.9,19.3,0.88,,,2
6280,W11014877166001,Tamil Nadu,Coimbatore,PALLADAM,Kallampalayam pz,77.2833,11.03,2022,7.51,3070,0,451.5,461.5,263.3,226.9,0,640,88,102.2,351.6,16.8,1.48,,,3
6281,W11010077110501,Tamil Nadu,Coimbatore,PALLADAM,Kaltanpet (Karanampett,77.1847,11.0167,2022,7.46,1088,0,311.2,156.2,91.8,1.5,0,470,116,43.8,45.9,7.5,0.52,,,2
6282,W11074477166001,Tamil Nadu,Coimbatore,THIRUPPUR,Kaniyampoondi pz,77.2833,11.1289,2022,7.38,1632,0,463.7,276.9,52,15.2,0,530,112,60.8,108.6,8.2,0.78,,,2
6283,W10481977083301,Tamil Nadu,Coimbatore,KINATHUKADAVU,Kattampatty pz,77.1425,10.8053,2022,7.26,1689,0,323.4,205.9,152.8,198.8,0,600,160,48.6,101.1,23.4,0.96,,,3
6284,W10436077014501,Tamil Nadu,Coimbatore,KINATHUKADAVU,Kinathukadavu,77.0292,10.7333,2022,7.31,1671,0,378.3,227.2,173.9,70.2,0,570,140,53.5,113.9,42.3,0.68,,,3
6285,W11033077232001,Tamil Nadu,Coimbatore,THIRUPPUR,Kovilvazhi IV,77.3889,11.0583,2022,7.2,1743,0,427.1,234.3,126.4,116.4,0,530,68,87.6,140.3,15.6,0.7,,,7
6286,W10580076550001,Tamil Nadu,Coimbatore,THONDAMUTHUR,Kuniyamuthur,76.9167,10.9667,2022,7.22,1270,0,305.1,198.8,76,103.7,0,460,112,43.8,83.2,20.8,0.48,,,2
6287,W11024477193801,Tamil Nadu,Coimbatore,PALLADAM,Kunnakalpalayam pz,77.3272,11.0456,2022,7.44,7430,0,549.1,1405.8,1188,98,0,1280,272,145.9,1058.8,14.2,1.54,,,5
6288,W10543076580001,Tamil Nadu,Coimbatore,MADUKKARAI,Madukkarai-PZ,76.9667,10.9083,2022,7.54,1363,0,323.4,177.5,164.8,92.9,0,430,120,31.6,117.4,19.6,1,,,2
6289,W11180076565001,Tamil Nadu,Coimbatore,KARAMADAI,Mettupalayam pz,76.9472,11.3,2022,7.4,1169,0,390.5,127.8,101.4,21.3,0,470,84,63.2,82.4,4.9,0.57,,,1
6290,W11064377200401,Tamil Nadu,Coimbatore,THIRUPPUR,Oothukadu,77.3344,11.1119,2022,7.4,2930,0,347.8,589.3,263.3,38.1,0,860,164,109.5,200.8,25,0.28,,,4
6291,W11122576593201,Tamil Nadu,Coimbatore,PERIYANAICKANPALAYA,P.N.palayam,76.9922,11.2069,2022,7.46,2270,0,585.7,284,160.9,136.6,0,610,112,80.3,222.2,37.7,1.25,,,9
6292,W10313277130501,Tamil Nadu,Coimbatore,UDUMALAIPETTAI,Pallapalayam pz,77.2181,10.5256,2022,7.2,1746,0,292.8,170.4,298.3,22.5,0,650,212,29.2,95.9,5.5,1.57,,,13
6293,W10442577060501,Tamil Nadu,Coimbatore,KINATHUKADAVU,Periya Negamam pz,77.1014,10.7403,2022,7.28,2330,0,311.2,383.4,147.2,213.3,0,780,188,75.4,144.7,23.3,0.9,,,5
6294,W10523076540001,Tamil Nadu,Coimbatore,MADUKKARAI,Pichanur,76.9,10.875,2022,7.18,314,0,48.8,35.5,86.9,2.1,0,140,24,19.5,6.7,13.8,0.14,,,0
6295,W11112977052401,Tamil Nadu,Coimbatore,ANNUR,Pillaimpalayam pz,77.09,11.1914,2022,7.45,2720,0,549.1,454.4,230,41.3,0,660,112,92.4,269.9,20.4,0.52,,,5
6296,W10580076586001,Tamil Nadu,Coimbatore,THONDAMUTHUR,Podanur1,76.9833,10.9667,2022,7.35,2400,0,530.8,433.1,79.2,85.6,0,730,164,77.8,212.3,32.4,0.6,,,6
6297,W10394077000001,Tamil Nadu,Coimbatore,POLLACHI SOUTH,Pollachi1,77,10.6611,2022,7.4,1237,0,408.8,191.7,83.5,4.1,0,420,92,46.2,87.2,37.1,1.04,,,1
6298,W10403076561501,Tamil Nadu,Coimbatore,POLLACHI NORTH,Ponnaiyur,76.9375,10.675,2022,7.36,960,0,280.6,149.1,62.6,41.3,0,360,68,46.2,54.9,16.9,0.87,,,0
6299,W10360877003201,Tamil Nadu,Coimbatore,POLLACHI SOUTH,Samathur Hss pz,77.0089,10.6022,2022,7.28,2750,0,549.1,553.8,92.9,5.4,0,810,200,75.4,216.7,31.5,1.58,,,6
6300,W11041077000501,Tamil Nadu,Coimbatore,SARKARSAMAKULAM,Saravanampatti,77.0014,11.0694,2022,6.88,332,0,91.5,71,10.6,1.3,0,150,40,12.2,4.6,14.2,0.15,,,0
6301,W11076077016001,Tamil Nadu,Coimbatore,SARKARSAMAKULAM,Sarkar samakulam pz,77.0333,11.1333,2022,7.29,2350,0,579.6,355,152,104.1,0,850,132,126.5,161.3,35.5,1.55,,,9
6302,W11104576453001,Tamil Nadu,Coimbatore,KARAMADAI,Seeliyur,76.7583,11.1792,2022,7.7,1352,0,256.2,170.4,241.9,9.6,0,460,100,51.1,92.6,22.6,1.22,,,5
6303,W10594777011501,Tamil Nadu,Coimbatore,THONDAMUTHUR,Singanallur,77.0208,10.9964,2022,7.28,2510,0,896.8,326.6,92.8,14.8,0,560,80,87.6,306.5,14.1,0.77,,,2
6304,W10483076573001,Tamil Nadu,Coimbatore,KINATHUKADAVU,Sokkanur,76.9583,10.8083,2022,7.44,1323,0,323.4,170.4,172.6,36.2,0,340,76,36.5,84.9,116.2,0.89,,,1
6305,W11013077073001,Tamil Nadu,Coimbatore,SULUR,Sulur,77.125,11.025,2022,7.3,2870,0,567.4,482.8,173.3,2.9,0,800,192,77.8,258.9,16.6,0.57,,,9
6306,W10586076552201,Tamil Nadu,Coimbatore,THONDAMUTHUR,Telungupalayam pz,76.9228,10.9833,2022,7.35,1450,0,500.3,213,71.2,11.4,0,510,108,58.4,102.2,20.8,0.64,,,7
6307,W11182477164401,Tamil Nadu,Coimbatore,AVINASHI,Thathanur Aanaikalpala,77.2789,11.3067,2022,7.4,783,0,274.5,85.2,41.3,11.1,0,290,64,31.6,36.1,16.9,0.46,,,10
6308,W10374276523101,Tamil Nadu,Coimbatore,ANAMALAI,Thivansapudur,76.8753,10.6283,2022,7.46,1128,0,335.6,191.7,74.4,13.8,0,440,88,53.5,59.2,18.2,1.1,,,0
6309,W10586076496001,Tamil Nadu,Coimbatore,THONDAMUTHUR,Thondamuthur,76.8333,10.9833,2022,7.42,1886,0,439.3,284,140.6,83,0,540,120,58.4,159.8,19.2,1.11,,,6
6310,W11011976563101,Tamil Nadu,Coimbatore,THONDAMUTHUR,Tn Urban Studies pz,76.9419,11.0219,2022,7.48,1575,0,549.1,120.7,160.4,6.1,0,290,56,36.5,239.9,6.8,1.7,,,13
6311,W11013076543001,Tamil Nadu,Coimbatore,THONDAMUTHUR,Vadavalli,76.9083,11.025,2022,7.53,2330,0,494.2,362.1,132.8,177.9,0,690,128,90,233.5,28.5,0.68,,,7
6312,W10404777161901,Tamil Nadu,Coimbatore,GUDIMANGALAM,Varadharajapuram Mur,77.2719,10.6797,2022,7.26,1155,0,298.9,156.2,102,2.6,0,460,120,38.9,53.2,5,0.97,,,2
6313,W11084177183401,Tamil Nadu,Coimbatore,THIRUPPUR,Velampalayam,77.3094,11.1447,2022,7.4,564,0,140.3,78.1,51,4.1,0,180,40,19.5,40.5,2.9,0.11,,,1
6314,W11345679331201,Tamil Nadu,Cuddalore,KURINJIPADI,Abathanapuram,79.5534,11.5821,2022,7.44,848,0,366.1,74.4,38.4,21.7,0,300,56,38.9,55.2,2.3,0.34,,,12
6315,W11332279272801,Tamil Nadu,Cuddalore,KAMMAPURAM,Ammeri - Thoppulikupp,79.4578,11.5561,2022,7.45,766,0,146.4,109.9,52.8,62,0,210,40,26.7,73.6,8.6,0.9,,,0
6316,W11362479380601,Tamil Nadu,Cuddalore,KURINJIPADI,Anathanampettai,79.6351,11.6068,2022,7.38,883,0,244.1,67.4,57.6,124,0,310,48,46.2,52.9,8.2,0.4,,,24
6317,W11365379394101,Tamil Nadu,Cuddalore,KURINJIPADI,Arasadikuppam,79.6614,11.6147,2022,7.4,1420,0,305.1,212.7,96,80.6,0,290,52,38.9,184,25.4,0.57,,,5
6318,W11454579330901,Tamil Nadu,Cuddalore,ANNAGRAMAM,C.Keeranur EW,79.5524,11.7625,2022,7.5,1165,0,274.6,177.3,91.2,37.2,0,380,124,17,94.3,14.1,0.6,,,35
6319,W11235979414001,Tamil Nadu,Cuddalore,KEERAPALAYAM,Chidambaram New,79.6944,11.3996,2022,7.46,1219,0,183.1,70.9,336,21.7,0,390,48,65.6,98.9,0.8,0.32,,,2
6320,W11233179422601,Tamil Nadu,Cuddalore,KEERAPALAYAM,Chidhambaram,79.7072,11.3919,2022,7.23,1000,0,213.6,88.6,144,62,0,320,52,46.2,80.5,4.7,1.2,,,0
6321,W11370479331401,Tamil Nadu,Cuddalore,KURINJIPADI,Gandhinagar-NLC arch,79.554,11.6177,2022,7.44,947,0,280.7,81.5,96,52.1,0,320,76,31.6,73.6,8.2,0.07,,,1
6322,W11260379331201,Tamil Nadu,Cuddalore,MELBHUVANAGIRI,"Indiira Nagar
(Thirumandangudi)",79.5533,11.4342,2022,7.2,800,0,195.3,106.4,52.8,37.2,0,300,96,14.6,41.4,8.2,0.53,,,0
6323,W11301379375701,Tamil Nadu,Cuddalore,KURINJIPADI,Iruppu ii,79.6325,11.5036,2022,7.5,1160,0,250.2,141.8,144,57.7,0,420,116,31.6,71.3,9.8,0.62,,,34
6324,W11312079313201,Tamil Nadu,Cuddalore,KURINJIPADI,Karunguli,79.5256,11.5223,2022,7.11,611,0,73.2,106.4,72,31,0,200,64,9.7,34,25.4,0.04,,,3
6325,W11395879390901,Tamil Nadu,Cuddalore,CUDDALORE,Kattiyankuppam-I,79.6524,11.6661,2022,7.6,725,0,274.6,67.4,50.9,31,0,235,76,10.9,64.4,4.7,1.04,,,3
6326,W11171479330601,Tamil Nadu,Cuddalore,KATTUMANNARKOIL,Kattumannakudi,79.5517,11.2872,2022,7.38,1471,0,366.1,177.3,120,68.2,0,400,44,70.5,144.9,9.8,0.44,,,5
6327,W11312279391201,Tamil Nadu,Cuddalore,KURINJIPADI,Kattusagai(n),79.6534,11.5228,2022,7.5,1015,0,213.6,152.4,57.6,68.2,0,340,50,52.3,69,10.2,0.9,,,1
6328,W11385179382101,Tamil Nadu,Cuddalore,KURINJIPADI,Kattuvegakollai,79.6392,11.6475,2022,7.01,946,0,305.1,92.2,24,68.2,0,320,72,34,59.8,10.2,0.19,,,1
6329,W11360579430901,Tamil Nadu,Cuddalore,KURINJIPADI,Keelpuvanikuppam,79.7191,11.6013,2022,7.3,836,0,244.1,53.2,100.8,55.8,0,265,36,42.5,69,4.7,0.58,,,5
6330,W11365879481001,Tamil Nadu,Cuddalore,,Killai,79.8028,11.6161,2022,7.39,1215,0,378.3,177.3,57.6,6.2,0,365,36,66.8,112.7,4.7,0.06,,,1
6331,W11040079452601,Tamil Nadu,Cuddalore,SEMBANAR KOIL,Kodandaramapuram,79.7573,11.0667,2022,7.6,1815,0,213.6,312,268.8,20.5,0,410,36,77.8,230,9.8,0.61,,,4
6332,W11330579482601,Tamil Nadu,Cuddalore,,Komaratchi,79.8072,11.5514,2022,7.55,886,0,183.1,70.9,144,74.4,0,300,48,43.8,64.4,8.6,0.39,,,10
6333,W11365679081601,Tamil Nadu,Cuddalore,THIYAGADURGAM,Kopuvanur,79.1378,11.6156,2022,7.45,1396,0,360,198.5,48,68.2,0,405,40,74.1,121.9,13.7,0.37,,,11
6334,W11443779382501,Tamil Nadu,Cuddalore,ANNAGRAMAM,Kudikkadu I,79.6403,11.7436,2022,7.6,960,0,73.2,159.5,168,15.5,0,255,32,42.5,92,14.1,0.22,,,0
6335,W11313779390601,Tamil Nadu,Cuddalore,KURINJIPADI,Kundiamallur,79.6517,11.5269,2022,7.36,1398,0,91.5,159.5,288,74.4,0,410,60,63.2,119.6,14.9,0.04,,,12
6336,W11335079351101,Tamil Nadu,Cuddalore,KURINJIPADI,Kurinjipadi,79.5865,11.5638,2022,7.71,165,0,36.6,17.7,10.1,18.6,0,55,16,3.6,11.5,0.4,0.78,,,5
6337,W12152980133901,Tamil Nadu,Cuddalore,,Maa Podaiyur,80.2275,12.2581,2022,7.9,1104,0,414.9,56.7,105.6,31,0,310,88,21.9,98.9,24.2,1.33,,,2
6338,W11371079333101,Tamil Nadu,Cuddalore,KURINJIPADI,Mangalur,79.5586,11.6194,2022,7.7,900,0,402.7,7.1,100.8,18.6,0,245,48,30.4,92,9.8,0.86,,,1
6339,W11455279455301,Tamil Nadu,Cuddalore,CUDDALORE,Manjakuppam,79.7647,11.7644,2022,7.3,660,0,152.6,74.4,57.6,51.5,0,215,60,15.8,46,3.9,1.47,,,0
6340,W11293579360501,Tamil Nadu,Cuddalore,MELBHUVANAGIRI,Marungur-I,79.6015,11.4931,2022,7.6,860,0,73.2,78,220.8,14.3,0,245,36,37.7,73.6,9.8,0.33,,,5
6341,W11463379402401,Tamil Nadu,Cuddalore,ANNAGRAMAM,Maruthur-II,79.6733,11.7759,2022,7.8,775,0,262.4,70.9,62.4,10.5,0,215,36,30.4,69,13.7,0.84,,,4
6342,W11395379241501,Tamil Nadu,Cuddalore,KAMMAPURAM,Nadiyapattu,79.4041,11.6647,2022,7.38,978,0,152.6,141.8,115.2,49.6,0,260,62,25.5,103.5,3.9,0.15,,,0
6343,W11382179445101,Tamil Nadu,Cuddalore,CUDDALORE,Nadutitu,79.7474,11.6392,2022,7.37,128,0,24.4,10.6,14.4,15.5,0,50,14,3.6,6.9,0.4,0.25,,,1
6344,W11353279353201,Tamil Nadu,Cuddalore,KURINJIPADI,Nellikuppam,79.5921,11.5923,2022,7.2,493,0,183.1,60.3,19.2,12.4,0,150,50,6.1,48.3,7.8,1.15,,,1
6345,W11214479280101,Tamil Nadu,Cuddalore,KUMARATCHI,Pacharapalayam-I,79.467,11.3621,2022,7.1,906,0,158.7,173.7,48,37.2,0,295,46,43.8,69,8.2,0.37,,,1
6346,W11245879342001,Tamil Nadu,Cuddalore,MELBHUVANAGIRI,Palayamkottai EW,79.5722,11.4161,2022,7.5,1790,0,341.7,262.3,168,74.4,0,455,82,60.8,184,24.2,0.93,,,1
6347,W11323079344001,Tamil Nadu,Cuddalore,KURINJIPADI,Parudur-I,79.5777,11.5416,2022,7.7,1075,0,335.6,113.4,86.4,24.8,0,335,64,42.5,82.8,20.3,0.52,,,1
6348,W12152980133901,Tamil Nadu,Cuddalore,,Pathirikuppam OW,80.2275,12.2581,2022,7.5,317,0,67.1,42.5,24,24.8,0,105,40,1.2,20.7,5.5,0.44,,,0
6349,W11292279425601,Tamil Nadu,Cuddalore,PARANGIPETTAI,Periyakumuthi,79.7156,11.4894,2022,7.13,100,0,30.5,14.2,9.6,7.4,0,40,12,2.4,6.9,2,0.72,,,3
6350,W11305079384301,Tamil Nadu,Cuddalore,KURINJIPADI,Poovalai,79.6453,11.5138,2022,7.1,1000,0,445.4,35.5,52.8,37.2,0,225,60,18.2,119.6,12.1,0.3,,,3
6351,W11292179451201,Tamil Nadu,Cuddalore,PARANGIPETTAI,Porto-nova,79.7533,11.4891,2022,7.04,99,0,24.4,10.6,5.3,13,0,30,6,3.6,6.9,2,0.72,,,2
6352,W11411479413901,Tamil Nadu,Cuddalore,CUDDALORE,Rajankuppam,79.6941,11.6873,2022,7.45,747,0,183.1,106.4,48,31,0,240,42,32.8,69,9.8,0.12,,,1
6353,W11315679354801,Tamil Nadu,Cuddalore,KURINJIPADI,Ramapuram-I,79.5967,11.5323,2022,7.4,840,0,170.9,88.6,105.6,31,0,225,40,30.4,75.9,10.2,1.15,,,8
6354,W11321479314801,Tamil Nadu,Cuddalore,KURINJIPADI,Reddipalayam,79.53,11.5371,2022,7.38,2520,0,195.3,411.2,384,130.2,0,800,164,94.8,190.9,23.5,0.64,,,2
6355,W11322279352901,Tamil Nadu,Cuddalore,KURINJIPADI,Reddipalayam,79.5914,11.5395,2022,7.08,139,0,30.5,10.6,12,19.8,0,45,12,3.6,9.2,0.4,0.82,,,7
6356,W11371079333101,Tamil Nadu,Cuddalore,KURINJIPADI,Sakthi Nagar OW,79.5586,11.6194,2022,7,790,0,305.1,78,24,12.4,0,100,36,2.4,128.8,9.8,0.38,,,0
6357,W11311779224001,Tamil Nadu,Cuddalore,KAMMAPURAM,Sathamangalam,79.3779,11.5213,2022,6.5,155,0,42.7,17.7,13,6.8,0,45,12,3.6,13.8,2,0.25,,,2
6358,W11314679315201,Tamil Nadu,Cuddalore,KURINJIPADI,Seerakuppam,79.5312,11.5295,2022,6.5,207,0,48.8,31.9,10.1,6.8,0,60,16,4.9,18.4,2,0.22,,,1
6359,W11255779323201,Tamil Nadu,Cuddalore,MELBHUVANAGIRI,Sengalpalayam-I,79.5422,11.4324,2022,7.53,990,0,122,120.5,139.2,86.8,0,225,42,29.2,119.6,3.9,1.02,,,34
6360,W11413479363601,Tamil Nadu,Cuddalore,CUDDALORE,Sethiathope-I,79.61,11.6928,2022,7.52,710,0,183.1,70.9,86.4,31,0,270,40,41.3,36.8,7.8,0.78,,,3
6361,W11241979235401,Tamil Nadu,Cuddalore,KATTUMANNARKOIL,Silambinathanpettai- I &,79.3983,11.4052,2022,7.6,540,0,122,63.8,48,37.2,0,150,40,12.2,50.6,7.8,0.52,,,0
6362,W11214279303001,Tamil Nadu,Cuddalore,KUMARATCHI,Solatharam,79.5083,11.3617,2022,6.6,210,0,48.8,28.4,19.2,6.8,0,80,18,8.5,11.5,2,1.31,,,6
6363,W11370479431001,Tamil Nadu,Cuddalore,KURINJIPADI,Srimushanam,79.7194,11.6177,2022,7.63,513,0,183.1,56.7,19.2,6.2,0,200,42,23.1,25.3,3.9,0.97,,,0
6364,W11350279380101,Tamil Nadu,Cuddalore,KURINJIPADI,Srinivasapuram,79.6335,11.5839,2022,7.54,801,0,244.1,95.7,28.8,49.6,0,300,80,24.3,46,3.9,1.18,,,8
6365,W11340979404401,Tamil Nadu,Cuddalore,KURINJIPADI,Teerthanagiri,79.679,11.5693,2022,7,1325,0,201.4,234,144,17.4,0,400,132,17,115,7.8,1.55,,,7
6366,W11352279314001,Tamil Nadu,Cuddalore,KURINJIPADI,Tekkumellur (Therkume,79.5277,11.5894,2022,7.5,1340,0,134.2,319.1,96,16.7,0,410,100,38.9,112.7,17.2,1.95,,,6
6367,W11341379406001,Tamil Nadu,Cuddalore,KURINJIPADI,Thaiyalkunapattinam,79.6832,11.5703,2022,7.45,2530,0,280.7,638.1,96,37.2,0,550,120,60.8,315.1,19.6,1.53,,,2
6368,W11333779332301,Tamil Nadu,Cuddalore,KURINJIPADI,Theerthangari EW,79.5563,11.5604,2022,7.7,1050,0,207.5,134.7,86.4,74.4,0,275,64,28,103.5,15.6,1.86,,,1
6369,W11395379241501,Tamil Nadu,Cuddalore,KAMMAPURAM,Tholudur,79.4041,11.6647,2022,7.6,1220,0,518.7,60.3,72,31,0,390,16,85.1,92,17.6,1.32,,,2
6370,W11365979443001,Tamil Nadu,Cuddalore,KURINJIPADI,tiruchchopuram,79.7416,11.6164,2022,7.7,325,0,67.1,28.4,10.6,68.2,0,120,36,7.3,18.4,2,1.18,,,0
6371,W11454779283201,Tamil Nadu,Cuddalore,PANRUTI,Tiruvamur OW,79.4756,11.7631,2022,7.3,225,0,42.7,28.4,28.8,9.3,0,90,20,9.7,9.2,2,0.32,,,0
6372,W11321579530401,Tamil Nadu,Cuddalore,,Vadalur EW,79.8844,11.5375,2022,7.66,1015,0,128.1,117,192,62,0,325,60,42.5,80.5,7.8,0.64,,,3
6373,W11340779331501,Tamil Nadu,Cuddalore,KURINJIPADI,Vadalur(o.w),79.5542,11.5687,2022,7.5,360,0,97.6,56.7,12,18.6,0,155,48,8.5,6.9,13.7,1.8,,,37
6374,W11310479200501,Tamil Nadu,Cuddalore,VRIDHACHALAM,Vanathirayapuram I,79.3347,11.5177,2022,7.63,700,0,146.4,81.5,72,49.6,0,250,50,30.4,39.1,11.7,0.36,,,1
6375,W11413079431801,Tamil Nadu,Cuddalore,CUDDALORE,Vazhisothanaipalayam,79.7216,11.6916,2022,7.4,1420,0,561.4,81.5,96,37.2,0,360,44,60.8,151.8,14.1,0.99,,,3
6376,W11403379314401,Tamil Nadu,Cuddalore,PANRUTI,Vegakollai,79.5289,11.6758,2022,7.3,650,0,134.2,70.9,44.2,74.4,0,210,72,7.3,41.4,18,1.23,,,1
6377,W11203779131401,Tamil Nadu,Cuddalore,SENDURAI,Vilathur (Budangudi) O,79.2205,11.3436,2022,7.5,760,0,292.9,81.5,19.2,6.8,0,140,36,12.2,105.8,8.6,1.12,,,0
6378,W11310479200501,Tamil Nadu,Cuddalore,VRIDHACHALAM,Vridhachalam,79.3347,11.5177,2022,7.3,510,0,122,60.3,67.2,26.7,0,195,60,10.9,18.4,25.4,0.57,,,1
6379,W11460579154601,Tamil Nadu,Cuddalore,TIRUNAVALUR,Vridhachalam I,79.2628,11.7681,2022,7.52,635,0,97.6,109.9,48,37.2,0,200,32,29.2,50.6,4.7,0.11,,,0
6380,W11562578240601,Tamil Nadu,Dharmapuri,HARUR,A.Pallipatti,78.4017,11.9403,2022,7.05,2970,0,524.7,497,207,198.9,0,790,204,68.1,296,64.5,0.3,,,1
6381,W11562578240601,Tamil Nadu,Dharmapuri,HARUR,A.Pallipatti,78.4017,11.9403,2022,7.05,2970,0,524.7,497,207,198.9,0,790,204,68.1,296,64.5,0.3,,,1
6382,W11560278232701,Tamil Nadu,Dharmapuri,PAPPIREDDIPATTI,Athikarapatti,78.3909,11.934,2022,7.73,2960,0,500.3,631.9,156.4,54.9,0,620,88,97.3,388.9,8.3,0.7,,,0
6383,W11560278232701,Tamil Nadu,Dharmapuri,PAPPIREDDIPATTI,Athikarapatti,78.3909,11.934,2022,7.73,2960,0,500.3,631.9,156.4,54.9,0,620,88,97.3,388.9,8.3,0.7,,,0
6384,W12070278091101,Tamil Nadu,Dharmapuri,DHARMAPURI,Bharathipuram,78.1531,12.1172,2022,7.31,753,0,225.7,99.4,81.6,30.9,0,340,56,48.6,44.6,1.3,0.33,,,0
6385,W12070278091101,Tamil Nadu,Dharmapuri,DHARMAPURI,Bharathipuram,78.1531,12.1172,2022,7.31,753,0,225.7,99.4,81.6,30.9,0,340,56,48.6,44.6,1.3,0.33,,,0
6386,W12000078150001,Tamil Nadu,Dharmapuri,DHARMAPURI,Bommidimalapurm,78.25,12,2022,7.38,1336,0,317.3,170.4,132.1,146.6,0,500,116,51.1,118.6,3.5,0.35,,,0
